Date,Close,High,Low,Open,Volume
2001/5/29,39.00427628,41.01707379,38.98736163,41.01707379,66609600
2001/5/30,37.57504272,38.77595408,37.27904436,38.42075604,81397400
2001/5/31,37.82875061,38.77594848,37.46509368,37.66806627,68018300
2001/6/1,38.94507599,39.09730456,37.49045208,38.51376386,61874300
2001/6/4,38.75902557,39.46096564,38.30233981,39.18188204,41696000
2001/6/5,40.46737289,40.89868841,39.07194813,39.15651816,68146400
2001/6/6,40.15446472,41.34692028,39.80772242,40.66189461,61169500
2001/6/7,41.18622971,41.85434385,39.80771641,39.85846036,65400200
2001/6/8,40.04452515,41.24543976,39.70624175,41.20315474,56391400
2001/6/11,38.94507599,39.74850384,38.47147886,39.66393384,48809400
2001/6/12,38.73365784,39.5793709,37.40588858,37.94714443,78450500
2001/6/13,37.6765213,39.53709093,37.65115094,39.13114899,68535400
2001/6/14,35.73138046,37.54966502,35.51995218,37.22829312,91050300
2001/6/15,36.02736282,36.42484886,34.91102222,35.35079325,84589400
2001/6/18,35.54533005,36.50944272,35.01253298,36.06121569,63539100
2001/6/19,35.36772156,36.83926377,34.89412106,36.63629121,73386900
2001/6/20,36.17113876,36.34028198,34.91102521,34.92793985,83588600
2001/6/21,36.66165543,37.40588373,35.77365747,36.08657036,67212600
2001/6/22,36.57707977,37.3805076,36.01890944,36.88999262,51870400
2001/6/25,36.67011261,37.04222513,36.06965721,36.88154084,39212100
2001/6/26,36.79696274,37.11833451,35.92587958,35.97662351,55155100
2001/6/27,37.03377151,37.3382287,36.3656575,36.94074257,53289400
2001/6/28,37.50736237,39.20724694,37.50736237,37.54965059,89963700
2001/6/29,38.64909744,39.34258207,37.80338416,38.13321183,59719600
2001/7/2,38.43764877,39.30873196,38.21776163,38.60679198,50884300
2001/7/3,38.59833527,38.64062026,37.88793632,38.26850776,24758400
2001/7/5,36.74623489,38.20931817,36.74623489,37.94714595,44409800
2001/7/6,35.22395706,36.45869759,35.08864308,36.37412434,53434800
2001/7/9,35.52840424,36.10348937,35.09709199,35.42691957,45547500
2001/7/10,34.25138092,36.26417902,34.1668109,36.16269113,58620000
2001/7/11,34.67422485,34.75879484,33.71856848,34.18370988,77840200
2001/7/12,36.87309265,37.06760952,35.77366618,36.05275308,70363300
2001/7/13,36.49252701,37.57503891,36.2810987,36.68704066,62474200
2001/7/16,35.81593323,37.09296127,35.43536508,36.67856061,53390800
2001/7/17,36.61938477,36.70395803,35.1309308,35.36772949,59813000
2001/7/18,35.22395706,36.23881035,34.79264151,35.74829836,64797200
2001/7/19,36.06121826,36.66167399,35.30853386,35.90898959,76590200
2001/7/20,35.22395706,35.63835473,34.97869945,35.08864308,49012800
2001/7/23,34.34440613,35.8582332,34.29366219,35.72291925,55329400
2001/7/24,33.9553833,34.58966815,33.24498415,34.14989693,70422900
2001/7/25,34.25138092,34.43743884,33.32109779,33.94692368,68859600
2001/7/26,34.75878906,35.42690284,33.81159179,34.20907777,69199300
2001/7/27,35.47766113,35.7398301,34.92794639,35.21548894,47452900
2001/7/30,35.26624298,35.77366964,35.01252965,35.62989993,39459400
2001/7/31,35.31699371,36.17962186,35.09710963,35.38465234,55732500
2001/8/1,36.45022964,36.78851614,35.86668883,36.05274672,53864800
2001/8/2,37.13526154,37.21137584,36.21343414,37.03377687,53187300
2001/8/3,36.51786804,36.81386614,35.99352717,36.81386614,51513700
